product_id,category,brand,list_price,unit_cost,is_subscription,is_active
P10000,Grocery,Citrine,35.45,16.72,0,1
P10001,Home,Orion,74.17,49.96,0,1
P10002,Fitness,Meridian,39.16,17.12,0,1
P10003,Apparel,Aster,11.98,7.23,0,1
P10004,Beauty,Orion,15.19,6.94,0,1
P10005,Beauty,Lumen,10.06,5.18,0,1
P10006,Fitness,Aster,48.82,28.75,0,1
P10007,Beauty,Vertex,27.64,14.27,0,1
P10008,Apparel,Nova,57.83,36.33,0,1
P10009,Electronics,Aster,18.93,7.99,0,1
P10010,Apparel,Kairo,18.23,11.85,0,1
P10011,Home,Aster,19.23,8.38,0,1
P10012,Home,Vertex,42.21,14.95,0,1
P10013,Apparel,Vertex,16.01,7.84,0,1
P10014,Grocery,Citrine,68.49,44.39,1,1
P10015,Beauty,Solace,27.09,18.59,0,1
P10016,Grocery,Aster,15.74,7.69,0,1
P10017,Fitness,Kairo,9.79,6.83,0,1
P10018,Fitness,Aster,17.3,8.48,0,1
P10019,Grocery,Vertex,23.11,15.52,0,1
P10020,Apparel,Citrine,15.32,6.37,0,1
P10021,Apparel,Meridian,27.83,17.46,0,1
P10022,Apparel,Vertex,24.36,9.35,0,1
P10023,Electronics,Aster,14.24,9.39,0,1
P10024,Apparel,Nova,50.52,32.67,0,1
P10025,Electronics,Meridian,25.26,11.68,0,1
P10026,Apparel,Orion,36.59,25.41,0,1
P10027,Home,Vertex,25.94,16.69,0,1
P10028,Beauty,Lumen,14.13,8.18,0,1
P10029,Beauty,Citrine,20.14,12.94,0,1
P10030,Beauty,Citrine,30.33,13.31,0,1
P10031,Home,Citrine,11.71,5.73,0,1
P10032,Electronics,Nova,28.49,15.6,0,1
P10033,Fitness,Vertex,10.19,6.85,0,1
P10034,Apparel,Solace,18.93,9.26,0,1
P10035,Accessories,Kairo,14.18,8.12,0,1
P10036,Beauty,Solace,11.09,6.39,0,1
P10037,Apparel,Orion,8.62,3.62,0,1
P10038,Apparel,Aster,18.36,10.3,0,1
P10039,Apparel,Kairo,12.34,6.47,0,1
P10040,Grocery,Lumen,20.65,12.7,0,1
P10041,Home,Aster,36.05,15.01,0,1
P10042,Electronics,Citrine,13.9,8.03,0,1
P10043,Electronics,Solace,25.55,10.29,0,1
P10044,Apparel,Citrine,47.24,20.85,0,1
P10045,Home,Aster,26.82,10.73,0,1
P10046,Grocery,Vertex,83.95,54.75,0,1
P10047,Grocery,Orion,19.69,13.56,0,1
P10048,Home,Kairo,19.69,9.29,0,1
P10049,Home,Aster,15.96,10.64,0,1
P10050,Apparel,Lumen,16.64,11.0,0,1
P10051,Home,Nova,9.9,4.12,0,1
P10052,Home,Kairo,36.03,19.88,0,1
P10053,Grocery,Solace,14.0,8.47,0,1
P10054,Accessories,Orion,19.69,12.08,0,1
P10055,Grocery,Citrine,36.13,15.27,0,1
P10056,Electronics,Orion,17.84,9.24,0,1
P10057,Beauty,Aster,5.3,2.88,0,1
P10058,Home,Orion,23.66,11.36,0,1
P10059,Apparel,Citrine,31.9,19.14,0,1
P10060,Fitness,Lumen,21.06,12.07,0,0
P10061,Electronics,Lumen,21.02,13.19,0,1
P10062,Home,Solace,17.43,8.33,0,1
P10063,Electronics,Citrine,16.11,7.65,0,1
P10064,Home,Kairo,21.21,8.35,0,1
P10065,Home,Kairo,25.54,13.56,0,1
P10066,Grocery,Kairo,31.97,16.7,0,1
P10067,Apparel,Vertex,21.23,9.06,0,1
P10068,Beauty,Solace,29.32,17.89,0,1
P10069,Apparel,Meridian,9.67,3.59,0,1
P10070,Home,Lumen,27.84,10.72,0,1
P10071,Apparel,Meridian,16.49,9.21,0,1
P10072,Fitness,Lumen,15.73,8.19,0,1
P10073,Accessories,Nova,27.92,15.36,0,1
P10074,Apparel,Aster,40.42,26.58,0,1
P10075,Beauty,Vertex,20.43,8.18,0,1
P10076,Apparel,Solace,17.16,6.77,0,1
P10077,Beauty,Citrine,13.77,8.62,0,1
P10078,Fitness,Vertex,42.25,23.75,0,1
P10079,Grocery,Meridian,22.95,8.23,0,1
P10080,Grocery,Nova,25.0,15.86,0,1
P10081,Beauty,Vertex,7.71,4.86,0,1
P10082,Electronics,Solace,13.85,9.46,0,1
P10083,Accessories,Orion,18.72,7.77,0,1
P10084,Beauty,Vertex,26.31,16.55,0,1
P10085,Home,Kairo,39.84,22.33,0,1
P10086,Beauty,Nova,34.5,19.67,0,1
P10087,Home,Nova,30.75,19.19,0,1
P10088,Electronics,Solace,20.45,7.51,0,1
